NC,Zip,County,Green,Yellow,Red
NC,28169,Cleveland County,,Yellow,
NC,28042,Cleveland County,,,Red
NC,28089,Cleveland County,Green,,
NC,28040,Cleveland County,,Yellow,
NC,28168,Cleveland County,,,Red
NC,27549,Franklin County,,Yellow,
NC,27508,Franklin County,Green,,
NC,27596,Franklin County,,,Red
NC,27525,Franklin County,,Yellow,
NC,27597,Franklin County,,Yellow,
NC,27544,Franklin County,Green,,
NC,27537,Franklin County,,Yellow,
NC,27816,Franklin County,,Yellow,
NC,27587,Franklin County,,,Red
NC,27589,Franklin County,Green,,
NC,27882,Franklin County,,Yellow,
NC,27608,Wake County,,Yellow,
NC,27610,Wake County,,,Red
NC,27613,Wake County,,,Red
NC,27540,Wake County,Green,,
NC,27597,Wake County,Green,,
NC,27529,Wake County,,,Red
NC,27545,Wake County,,Yellow,
NC,27601,Wake County,,,Red
NC,27539,Wake County,,Yellow,
NC,27592,Wake County,,,Red
NC,27607,Wake County,,,Red
NC,27603,Wake County,Green,,
NC,27591,Wake County,Green,,
NC,27587,Wake County,,Yellow,
NC,27609,Wake County,Green,,
NC,27511,Wake County,,,Red
NC,27513,Wake County,Green,,
NC,27571,Wake County,,,Red
NC,27526,Wake County,,,Red
NC,27604,Wake County,,,Red
NC,27617,Wake County,,Yellow,
NC,27615,Wake County,Green,,
NC,27616,Wake County,,,Red
NC,27606,Wake County,Green,,
NC,27502,Wake County,,,Red
NC,27612,Wake County,Green,,
NC,27519,Wake County,Green,,
NC,27605,Wake County,,Yellow,
NC,27523,Wake County,,,Red
NC,27560,Wake County,,Yellow,
NC,27562,Wake County,,,Red
NC,27614,Wake County,,Yellow,
NC,27518,Wake County,,Yellow,
NC,27522,Wake County,Green,,
NC,27501,Wake County,Green,,
NC,27520,Wake County,,,Red
NC,27596,Wake County,,Yellow,
NC,27713,Wake County,,Yellow,
NC,27703,Wake County,,,Red
NC,27602,Wake County,,Yellow,
NC,27695,Wake County,,Yellow,
NC,28677,Iredell County,,Yellow,
NC,28625,Iredell County,,,Red
NC,28634,Iredell County,,,Red
NC,28115,Iredell County,,,Red
NC,28117,Iredell County,Green,,
NC,28166,Iredell County,,,Red
NC,28660,Iredell County,Green,,
NC,28689,Iredell County,,Yellow,
NC,27055,Iredell County,Green,,
NC,27013,Iredell County,Green,,
NC,28678,Iredell County,Green,,
NC,27020,Iredell County,,,Red
NC,28125,Iredell County,,Yellow,
NC,28036,Iredell County,Green,,
NC,28636,Iredell County,Green,,
NC,27028,Iredell County,Green,,
NC,28422,Brunswick County,,Yellow,
NC,28461,Brunswick County,,Yellow,
NC,28451,Brunswick County,,,Red
NC,28467,Brunswick County,,Yellow,
NC,28462,Brunswick County,Green,,
NC,28469,Brunswick County,,,Red
NC,28470,Brunswick County,,Yellow,
