id,zpid,state,county,address,city,zipcode,price,acres,price_per_acre,days_on_market,score,status,roi_pct,net_profit,red_flags
2937,460811374,TX,Bosque County,"2031C County Road 3310, Valley Mills, TX, 76689",Valley Mills,76689,325000.0,20.0,16250.0,3,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2922,339963379,TX,Montgomery County,"0 Michael Dr, Magnolia, TX, 77355",Magnolia,77355,332000.0,5.5278,60060.06,7,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2839,84376416,TX,Bastrop County,"500 Pine Valley Loop, Smithville, TX, 78957",Smithville,78957,355000.0,10.38,34200.39,1,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2983,168553482,TX,Collin County,"988 County Road 655, Farmersville, TX, 75442",Farmersville,75442,365000.0,9.408,38796.77,42,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2872,306545814,TX,Somervell County,"1102 Adams Point, Glen Rose, TX, 76043",Glen Rose,76043,375000.0,7.108,52757.46,2,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2962,460823796,TX,Houston County,"1653 Private Road 8160, Lovelady, TX, 75851",Lovelady,75851,375000.0,30.7,12214.98,3,15,reject,-23.47,-88001.25,"Projected profit is estimated, ROI below threshold"
2941,460221501,TX,Guadalupe County,"0 N Beyer, Marion, TX, 78124",Marion,78124,380000.0,10.0,38000.0,31,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2903,111663413,TX,Bell County,"22433 Fm 2268, Holland, TX, 76534",Holland,76534,390000.0,10.268,37982.08,60,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2864,458952780,TX,Collin County,"County Road 501, Blue Ridge, TX, 75424",Blue Ridge,75424,398700.0,5.0,79740.0,84,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2807,452133152,TX,Llano County,"21317 Fm 2323, Llano, TX, 78643",Llano,78643,399000.0,21.5,18558.14,53,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2853,306641857,TX,Travis County,"15100 Honeycomb Holw, Leander, TX, 78641",Leander,78641,499000.0,6.81,73274.6,22,15,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
